"StateAbbr","StateDesc","CountyName","CountyFIPS","TotalPopulation","TotalPop18plus","MetabolicCondition","Prevalence","RankedRisk","RiskLevel"
SD,South Dakota,Oglala Lakota,46102,"13,434","8,652",Diabetes,23.8,1,Moderate Risk
MS,Mississippi,Holmes,28051,"15,777","11,936",High Blood Pressure,53.1,1,High Risk
AL,Alabama,Perry,1105,"7,738","6,081",Obesity,54.0,1,High Risk
SD,South Dakota,Todd,46121,"9,199","5,411",Diabetes,22.9,2,Moderate Risk
LA,Louisiana,East Carroll,22035,"6,829","5,465",High Blood Pressure,52.5,2,High Risk
AL,Alabama,Greene,1063,"7,341","5,755",Obesity,53.4,2,High Risk
TX,Texas,Dimmit,48127,"8,257","5,890",Diabetes,21.5,3,Moderate Risk
AL,Alabama,Bullock,1011,"9,897","7,878",High Blood Pressure,52.4,3,High Risk
MS,Mississippi,Humphreys,28053,"7,216","5,419",High Blood Pressure,52.4,3,High Risk
AL,Alabama,Greene,1063,"7,341","5,755",High Blood Pressure,52.4,3,High Risk
MS,Mississippi,Humphreys,28053,"7,216","5,419",Obesity,53.0,3,High Risk
TX,Texas,Zavala,48507,"9,312","6,563",Diabetes,21.4,4,Moderate Risk
MS,Mississippi,Jefferson,28063,"6,941","5,423",High Blood Pressure,52.2,4,High Risk
AL,Alabama,Wilcox,1131,"9,944","7,755",Obesity,51.9,4,High Risk
AL,Alabama,Bullock,1011,"9,897","7,878",Diabetes,21.3,5,Moderate Risk
LA,Louisiana,East Carroll,22035,"6,829","5,465",Diabetes,21.3,5,Moderate Risk
AL,Alabama,Perry,1105,"7,738","6,081",High Blood Pressure,51.9,5,High Risk
LA,Louisiana,East Carroll,22035,"6,829","5,465",Obesity,51.7,5,High Risk
MS,Mississippi,Jefferson,28063,"6,941","5,423",Obesity,51.7,5,High Risk
AL,Alabama,Greene,1063,"7,341","5,755",Diabetes,21.1,6,Moderate Risk
MS,Mississippi,Claiborne,28021,"8,617","6,742",High Blood Pressure,51.4,6,High Risk
MS,Mississippi,Holmes,28051,"15,777","11,936",Obesity,51.5,6,High Risk
MS,Mississippi,Holmes,28051,"15,777","11,936",Diabetes,21.0,7,Moderate Risk
MS,Mississippi,Sharkey,28125,"3,336","2,528",High Blood Pressure,51.2,7,High Risk
MS,Mississippi,Tunica,28143,"9,234","6,698",High Blood Pressure,51.2,7,High Risk
AL,Alabama,Lowndes,1085,"9,717","7,570",Obesity,51.3,7,High Risk
MS,Mississippi,Humphreys,28053,"7,216","5,419",Diabetes,20.6,8,Moderate Risk
MS,Mississippi,Coahoma,28027,"20,077","14,632",High Blood Pressure,50.7,8,High Risk
MS,Mississippi,Quitman,28119,"5,546","4,262",Obesity,51.1,8,High Risk
AL,Alabama,Perry,1105,"7,738","6,081",Diabetes,20.5,9,Moderate Risk
TX,Texas,Starr,48427,"65,934","44,621",Diabetes,20.5,9,Moderate Risk
MS,Mississippi,Quitman,28119,"5,546","4,262",High Blood Pressure,50.6,9,High Risk
AL,Alabama,Bullock,1011,"9,897","7,878",Obesity,51.0,9,High Risk
TX,Texas,Jim Hogg,48247,"4,720","3,365",Diabetes,20.2,10,Moderate Risk
AL,Alabama,Lowndes,1085,"9,717","7,570",High Blood Pressure,50.4,10,High Risk
AL,Alabama,Wilcox,1131,"9,944","7,755",High Blood Pressure,50.4,10,High Risk
MS,Mississippi,Tunica,28143,"9,234","6,698",Obesity,50.8,10,High Risk
TX,Texas,Zapata,48505,"13,736","9,425",Diabetes,20.1,11,Moderate Risk
ND,North Dakota,Sioux,38085,"3,643","2,396",Diabetes,20.1,11,Moderate Risk
LA,Louisiana,Madison,22065,"9,246","6,887",High Blood Pressure,49.6,11,High Risk
MS,Mississippi,Sharkey,28125,"3,336","2,528",Obesity,50.5,11,High Risk
MS,Mississippi,Claiborne,28021,"8,617","6,742",Obesity,50.5,11,High Risk
MS,Mississippi,Tunica,28143,"9,234","6,698",Diabetes,19.9,12,Low Risk
MS,Mississippi,Sunflower,28133,"24,468","19,260",High Blood Pressure,49.5,12,High Risk
ND,North Dakota,Rolette,38079,"11,728","7,935",Obesity,50.2,12,High Risk
SD,South Dakota,Todd,46121,"9,199","5,411",Obesity,50.2,12,High Risk
MS,Mississippi,Yazoo,28163,"25,796","20,207",Obesity,50.2,12,High Risk
MS,Mississippi,Jefferson,28063,"6,941","5,423",Diabetes,19.8,13,Low Risk
MS,Mississippi,Washington,28151,"41,946","31,186",High Blood Pressure,49.4,13,High Risk
LA,Louisiana,Madison,22065,"9,246","6,887",Obesity,50.1,13,High Risk
LA,Louisiana,Madison,22065,"9,246","6,887",Diabetes,19.6,14,Low Risk
MS,Mississippi,Sharkey,28125,"3,336","2,528",Diabetes,19.6,14,Low Risk
MS,Mississippi,Claiborne,28021,"8,617","6,742",Diabetes,19.6,14,Low Risk
AL,Alabama,Dallas,1047,"36,165","27,736",High Blood Pressure,49.2,14,High Risk
MS,Mississippi,Leflore,28083,"26,378","19,118",High Blood Pressure,49.2,14,High Risk
AL,Alabama,Sumter,1119,"11,727","9,434",Obesity,50.0,14,High Risk
MS,Mississippi,Quitman,28119,"5,546","4,262",Diabetes,19.5,15,Low Risk
MS,Mississippi,Coahoma,28027,"20,077","14,632",Diabetes,19.5,15,Low Risk
AL,Alabama,Sumter,1119,"11,727","9,434",High Blood Pressure,49.1,15,High Risk
ND,North Dakota,Sioux,38085,"3,643","2,396",Obesity,49.7,15,High Risk
AL,Alabama,Lowndes,1085,"9,717","7,570",Diabetes,19.4,16,Low Risk
AR,Arkansas,Phillips,5107,"14,961","11,146",High Blood Pressure,49.0,16,High Risk
LA,Louisiana,Tensas,22107,"3,764","2,991",Obesity,49.2,16,High Risk
AL,Alabama,Wilcox,1131,"9,944","7,755",Diabetes,19.1,17,Low Risk
MS,Mississippi,Issaquena,28055,"1,256","1,128",High Blood Pressure,48.9,17,High Risk
AL,Alabama,Macon,1087,"18,370","15,322",Obesity,49.1,17,High Risk
MS,Mississippi,Leflore,28083,"26,378","19,118",Diabetes,19.0,18,Low Risk
TX,Texas,Willacy,48489,"20,037","15,371",Diabetes,19.0,18,Low Risk
MS,Mississippi,Wilkinson,28157,"8,058","6,454",High Blood Pressure,48.8,18,High Risk
SD,South Dakota,Buffalo,46017,"1,884","1,197",Obesity,49.0,18,High Risk
GA,Georgia,Randolph,13243,"6,078","4,809",Diabetes,18.9,19,Low Risk
LA,Louisiana,Claiborne,22027,"13,670","11,034",High Blood Pressure,48.6,19,High Risk
MS,Mississippi,Yazoo,28163,"25,796","20,207",High Blood Pressure,48.6,19,High Risk
MS,Mississippi,Sunflower,28133,"24,468","19,260",Obesity,48.9,19,High Risk
LA,Louisiana,Claiborne,22027,"13,670","11,034",Obesity,48.9,19,High Risk
LA,Louisiana,Claiborne,22027,"13,670","11,034",Diabetes,18.8,20,Low Risk
MS,Mississippi,Bolivar,28011,"28,968","21,837",High Blood Pressure,48.5,20,High Risk
AR,Arkansas,Phillips,5107,"14,961","11,146",Obesity,48.6,20,High Risk
SD,South Dakota,Buffalo,46017,"1,884","1,197",Diabetes,18.7,21,Low Risk
AL,Alabama,Macon,1087,"18,370","15,322",High Blood Pressure,48.4,21,High Risk
TX,Texas,Zavala,48507,"9,312","6,563",Obesity,48.2,21,High Risk
GA,Georgia,Macon,13193,"11,817","9,723",Diabetes,18.5,22,Low Risk
MS,Mississippi,Tallahatchie,28135,"11,837","9,494",High Blood Pressure,48.0,22,High Risk
NC,North Carolina,Robeson,37155,"117,365","86,828",Obesity,48.1,22,High Risk
GA,Georgia,Stewart,13259,"4,674","4,068",Diabetes,18.4,23,Low Risk
AR,Arkansas,Lee,5077,"8,201","6,761",High Blood Pressure,47.8,23,High Risk
AL,Alabama,Pickens,1107,"18,688","15,154",Obesity,48.0,23,High Risk
MS,Mississippi,Sunflower,28133,"24,468","19,260",Diabetes,18.3,24,Low Risk
SD,South Dakota,Corson,46031,"3,782","2,464",Diabetes,18.3,24,Low Risk
SD,South Dakota,Mellette,46095,"1,851","1,291",Diabetes,18.3,24,Low Risk
GA,Georgia,Hancock,13141,"8,676","7,419",Diabetes,18.3,24,Low Risk
MS,Mississippi,Noxubee,28103,"9,914","7,406",High Blood Pressure,47.7,24,High Risk
MS,Mississippi,Clay,28025,"18,206","14,127",Obesity,47.9,24,High Risk
AR,Arkansas,St. Francis,5123,"22,101","17,444",Obesity,47.9,24,High Risk
TX,Texas,Brooks,48047,"6,848","5,111",Diabetes,18.2,25,Low Risk
AL,Alabama,Sumter,1119,"11,727","9,434",Diabetes,18.2,25,Low Risk
LA,Louisiana,Morehouse,22067,"23,955","18,408",High Blood Pressure,47.5,25,High Risk
AL,Alabama,Hale,1065,"14,888","11,246",Obesity,47.8,25,High Risk
LA,Louisiana,Tensas,22107,"3,764","2,991",Diabetes,18.1,26,Low Risk
TX,Texas,Maverick,48323,"57,762","39,943",Diabetes,18.1,26,Low Risk
SD,South Dakota,Ziebach,46137,"2,322","1,744",Diabetes,18.1,26,Low Risk
AL,Alabama,Dallas,1047,"36,165","27,736",Diabetes,18.1,26,Low Risk
LA,Louisiana,Tensas,22107,"3,764","2,991",High Blood Pressure,47.4,26,High Risk
SD,South Dakota,Oglala Lakota,46102,"13,434","8,652",Obesity,47.7,26,High Risk
MO,Missouri,Mississippi,29133,"11,822","9,153",Obesity,47.7,26,High Risk
TX,Texas,Dimmit,48127,"8,257","5,890",Obesity,47.7,26,High Risk
MS,Mississippi,Wilkinson,28157,"8,058","6,454",Obesity,47.7,26,High Risk
MS,Mississippi,Noxubee,28103,"9,914","7,406",Diabetes,18.0,27,Low Risk
SD,South Dakota,Dewey,46041,"5,208","3,180",Diabetes,18.0,27,Low Risk
AK,Alaska,Kusilvak,2158,"8,001","4,640",Diabetes,18.0,27,Low Risk
AR,Arkansas,Jefferson,5069,"63,661","50,000",High Blood Pressure,47.2,27,High Risk
LA,Louisiana,Bienville,22013,"12,366","9,519",Obesity,47.6,27,High Risk
SD,South Dakota,Ziebach,46137,"2,322","1,744",Obesity,47.6,27,High Risk
NM,New Mexico,McKinley,35031,"68,797","50,466",Diabetes,17.9,28,Low Risk
MS,Mississippi,Bolivar,28011,"28,968","21,837",Diabetes,17.9,28,Low Risk
MS,Mississippi,Yazoo,28163,"25,796","20,207",Diabetes,17.9,28,Low Risk
SC,South Carolina,Allendale,45005,"7,369","6,040",Diabetes,17.9,28,Low Risk
MS,Mississippi,Jefferson Davis,28065,"10,969","8,785",High Blood Pressure,47.1,28,High Risk
AR,Arkansas,Chicot,5017,"9,538","7,511",Obesity,47.4,28,High Risk
TX,Texas,Presidio,48377,"5,795","4,219",Diabetes,17.8,29,Low Risk
MS,Mississippi,Issaquena,28055,"1,256","1,128",Diabetes,17.8,29,Low Risk
TN,Tennessee,Lake,47095,"6,347","5,362",Diabetes,17.8,29,Low Risk
TN,Tennessee,Lake,47095,"6,347","5,362",High Blood Pressure,46.8,29,High Risk
MS,Mississippi,Issaquena,28055,"1,256","1,128",Obesity,47.3,29,High Risk
TN,Tennessee,Lake,47095,"6,347","5,362",Obesity,47.3,29,High Risk
IN,Indiana,Cass,18017,"37,666","28,939",Obesity,47.3,29,High Risk
TX,Texas,Hidalgo,48215,"898,471","624,451",Diabetes,17.7,30,Low Risk
AL,Alabama,Macon,1087,"18,370","15,322",Diabetes,17.7,30,Low Risk
SC,South Carolina,Marion,45067,"28,508","22,259",Diabetes,17.7,30,Low Risk
AR,Arkansas,Desha,5041,"10,479","7,909",High Blood Pressure,46.7,30,High Risk
GA,Georgia,Hancock,13141,"8,676","7,419",High Blood Pressure,46.7,30,High Risk
LA,Louisiana,Lafourche,22057,"95,056","73,551",Obesity,47.2,30,High Risk
TN,Tennessee,Lauderdale,47097,"24,610","19,169",Obesity,47.2,30,High Risk
GA,Georgia,Telfair,13271,"10,920","9,009",Diabetes,17.6,31,Low Risk
MS,Mississippi,Washington,28151,"41,946","31,186",Diabetes,17.6,31,Low Risk
MS,Mississippi,Wilkinson,28157,"8,058","6,454",Diabetes,17.6,31,Low Risk
AR,Arkansas,St. Francis,5123,"22,101","17,444",High Blood Pressure,46.6,31,High Risk
OK,Oklahoma,Sequoyah,40135,"40,291","30,639",Obesity,47.1,31,High Risk
AL,Alabama,Barbour,1005,"24,585","19,517",Obesity,47.1,31,High Risk
MS,Mississippi,Coahoma,28027,"20,077","14,632",Obesity,47.1,31,High Risk
TX,Texas,Cameron,48061,"426,710","306,297",Diabetes,17.5,32,Low Risk
TX,Texas,Reeves,48389,"11,770","8,503",Diabetes,17.5,32,Low Risk
LA,Louisiana,Bienville,22013,"12,366","9,519",Diabetes,17.5,32,Low Risk
AL,Alabama,Conecuh,1035,"11,174","8,894",High Blood Pressure,46.5,32,High Risk
MS,Mississippi,Pike,28113,"39,394","29,430",High Blood Pressure,46.5,32,High Risk
AR,Arkansas,Lee,5077,"8,201","6,761",Obesity,47.0,32,High Risk
AK,Alaska,Kusilvak,2158,"8,001","4,640",Obesity,47.0,32,High Risk
TX,Texas,Hudspeth,48229,"3,451","3,036",Diabetes,17.4,33,Low Risk
WV,West Virginia,McDowell,54047,"17,439","14,224",Diabetes,17.4,33,Low Risk
SC,South Carolina,Marlboro,45069,"25,704","20,526",Diabetes,17.4,33,Low Risk
AR,Arkansas,Chicot,5017,"9,538","7,511",High Blood Pressure,46.1,33,High Risk
